dt,type,fenqi_cycle,fenqi,amount_rate
2018-10-01,6,2,3,0.0865583842006
2018-10-01,6,2,6,0.170576256104
2018-10-01,6,2,9,0.276605612855
2018-10-01,6,2,12,0.386315777853
2018-11-01,5,1,1,0.277539597433
2018-11-01,5,1,3,0.138769273227
2018-11-01,5,2,1,0.327496872108
2018-11-01,5,2,3,0.0669219807034
2018-11-01,5,2,6,0.188972477179
2018-11-01,5,2,9,0.000181868904588
2018-11-01,5,2,12,0.000117930445393
2018-11-01,6,2,2,0.0800272442904
2018-11-01,6,2,3,0.0865621758841
2018-11-01,6,2,6,0.170262217171
2018-11-01,6,2,9,0.277136084476
2018-11-01,6,2,12,0.386012278178
2018-12-01,5,1,1,0.277539301267
2018-12-01,5,1,3,0.138769650633
2018-12-01,5,2,1,0.32749688915
2018-12-01,5,2,3,0.0669219678331
2018-12-01,5,2,6,0.188972391889
2018-12-01,5,2,9,0.00018186878105
2018-12-01,5,2,12,0.000117930446509
2018-12-01,6,2,2,0.0803589606517
2018-12-01,6,2,3,0.0868023969583
2018-12-01,6,2,6,0.170241467163
2018-12-01,6,2,9,0.277011411742
2018-12-01,6,2,12,0.385585763485
