dt,type,orign_amount
2017-8-3,5,203550700
2017-8-4,5,177793100
2017-8-5,5,149211500
2017-8-6,5,155308950
2017-8-7,5,167089000
2017-8-8,5,193615250
2017-8-9,5,310065650
2017-8-10,5,252827150
2017-8-11,5,200905900
2017-8-12,5,181278850
2017-8-13,5,227028850
2017-8-14,5,224991050
2017-8-15,5,272146850
2017-8-16,5,291524450
2017-8-17,5,276058050
2017-8-18,5,246637800
2017-8-19,5,206020850
2017-8-20,5,191885050
2017-8-21,5,206473000
2017-8-22,5,170121700
2017-8-23,5,322605900
2017-8-24,5,253673100
2017-8-25,5,222006800
2017-8-26,5,181011100
2017-8-27,5,208916350
2017-8-28,5,253451200
2017-8-29,5,367239150
2017-8-30,5,363065800
2017-8-31,5,280925700
2017-9-1,5,262075100
2017-9-2,5,195100900
2017-9-3,5,179410600
2017-9-4,5,210981800
2017-9-5,5,245827050
2017-9-6,5,308746650
2017-9-7,5,261503250
2017-9-8,5,234849150
2017-9-9,5,240571300
2017-9-10,5,218517050
2017-9-11,5,213844450
2017-9-12,5,235647100
2017-9-13,5,284174400
2017-9-14,5,235798950
2017-9-15,5,234744100
2017-9-16,5,221369200
2017-9-17,5,214083100
2017-9-18,5,245887300
2017-9-19,5,281234350
2017-9-20,5,300457850
2017-9-21,5,236965950
2017-9-22,5,217866750
2017-9-23,5,206138850
2017-9-24,5,216216100
2017-9-25,5,227687100
2017-9-26,5,224269100
2017-9-27,5,312055300
2017-9-28,5,281651900
2017-1-1,6,5822902.42
2017-1-2,6,6129293.31
2017-1-3,6,7576798.69
2017-1-4,6,9601608.11
2017-1-5,6,8665518.62
2017-1-6,6,9141221.86
2017-1-7,6,8088459.71
2017-1-8,6,7993509.94
2017-1-9,6,9132695.71
2017-1-10,6,10108522.61
2017-1-11,6,11290599.46
2017-1-12,6,10814804.78
2017-1-13,6,8978165.84
2017-1-14,6,8162194.03
2017-1-15,6,7675026.08
2017-1-16,6,7655412.35
2017-1-17,6,7510406.21
2017-1-18,6,7549174.84
2017-1-19,6,7079429.49
2017-1-20,6,6090466.68
2017-1-21,6,4310394.86
2017-1-22,6,1754720.09
2017-1-23,6,1353157
2017-1-24,6,707029.49
2017-1-25,6,808944.19
2017-1-26,6,794870.41
2017-1-27,6,841335
2017-1-28,6,1035746
2017-1-29,6,1240531.54
2017-1-30,6,1439334.85
2017-1-31,6,1761049.33
2017-2-1,6,2730486.64
2017-2-2,6,3556620.35
2017-2-3,6,4546775.31
2017-2-4,6,5913956.73
2017-2-5,6,5566258.66
2017-2-6,6,7206029.68
2017-2-7,6,7654368.96
2017-2-8,6,7393766.52
2017-2-9,6,7063519.7
2017-2-10,6,6075996.5
2017-2-11,6,5194449.91
2017-2-12,6,4408145.26
2017-2-13,6,4942593.3
2017-2-14,6,5440169.45
2017-2-15,6,5471924.15
2017-2-16,6,4805930.5
2017-2-17,6,4979213.38
2017-2-18,6,4318900.58
2017-2-19,6,4325154.36
2017-2-20,6,5021524.4
2017-2-21,6,4773270.47
2017-2-22,6,4677649.23
2017-2-23,6,4677340.71
2017-2-24,6,4861176.32
2017-2-25,6,5227628.93
2017-2-26,6,5513002.52
2017-2-27,6,7058418.5
2017-2-28,6,7700042.03
2017-3-1,6,8185502.98
2017-3-2,6,7506778.3
2017-3-3,6,6822271.95
2017-3-4,6,6262027.14
2017-3-5,6,6062544.65
2017-3-6,6,7850585.64
2017-3-7,6,8418558.77
2017-3-8,6,8625217.1
2017-3-9,6,8655117.09
2017-3-10,6,7737123.15
2017-3-11,6,7292300.77
2017-3-12,6,6943130.6
2017-3-13,6,8260850.08
2017-3-14,6,9052148.87
2017-3-15,6,10591080.31
2017-3-16,6,11759304.45
2017-3-17,6,10431422.83
2017-3-18,6,8593691.76
2017-3-19,6,8295258.89
2017-3-20,6,15538814.74
2017-3-21,6,17350134.51
2017-3-22,6,13653856.57
2017-3-23,6,13411827.94
2017-3-24,6,12740162.74
2017-3-25,6,10328145.64
2017-3-26,6,9711775.11
2017-3-27,6,10509038.03
2017-3-28,6,8982865.51
2017-3-29,6,8995669.26
2017-3-30,6,10526309.48
2017-3-31,6,9692449.27
2017-4-1,6,7992503.68
2017-4-2,6,7632734.13
2017-4-3,6,7091877.62
2017-4-4,6,7300606.4
2017-4-5,6,8122775.37
2017-4-6,6,8603991.05
2017-4-7,6,8508439.95
2017-4-8,6,8027437.25
2017-4-9,6,7886654.55
2017-4-10,6,9451653.29
2017-4-11,6,13242809.12
2017-4-12,6,11951086.89
2017-4-13,6,10515020.68
2017-4-14,6,9396188.69
2017-4-15,6,9491835.32
2017-4-16,6,9677738.57
2017-4-17,6,10744676.49
2017-4-18,6,7856810.06
2017-4-19,6,9766161.18
2017-4-20,6,13455888.62
2017-4-21,6,12901175.82
2017-4-22,6,10787754.27
2017-4-23,6,10957556.05
2017-4-24,6,11468875.07
2017-4-25,6,12010727.23
2017-4-26,6,13477002.62
2017-4-27,6,9245937.32
2017-4-28,6,8181337.72
2017-4-29,6,5989585.56
2017-4-30,6,5771767.4
2017-5-1,6,5658737.42
2017-5-2,6,6929450.1
2017-5-3,6,10959658.92
2017-5-4,6,12723789.11
2017-5-5,6,13548682.38
2017-5-6,6,10796972.42
2017-5-7,6,10271340.27
2017-5-8,6,11149018.38
2017-5-9,6,11348462.52
2017-5-10,6,13984398.62
2017-5-11,6,13218597.68
2017-5-12,6,13270412.13
2017-5-13,6,10042753.36
2017-5-14,6,10024045.46
2017-5-15,6,9057151.6
2017-5-16,6,9305213.65
2017-5-17,6,9812946.82
2017-5-18,6,8729604.52
2017-5-19,6,8697241.78
2017-5-20,6,7313615.72
2017-5-21,6,7172993.2
2017-5-22,6,8410521.32
2017-5-23,6,8758175.97
2017-5-24,6,13819197.72
2017-5-25,6,12116590.48
2017-5-26,6,11075425.12
2017-5-27,6,10025823.82
2017-5-28,6,8712475.8
2017-5-29,6,8783046
2017-5-30,6,9662127.4
2017-5-31,6,14005799.89
2017-6-1,6,13255902.37
2017-6-2,6,12300169.42
2017-6-3,6,9447554.55
2017-6-4,6,9711676.37
2017-6-5,6,11098844.5
2017-6-6,6,14856394.8
2017-6-7,6,15379735.33
2017-6-8,6,12350125.14
2017-6-9,6,11109182.27
2017-6-10,6,9491765.2
2017-6-11,6,10179432.54
2017-6-12,6,11009319.34
2017-6-13,6,9708573.72
2017-6-14,6,15454451.88
2017-6-15,6,16206406.19
2017-6-16,6,17348706.22
2017-6-17,6,12535950.6
2017-6-18,6,20658328.74
2017-6-19,6,16024907.42
2017-6-20,6,15747383.24
2017-6-21,6,15638915.1
2017-6-22,6,13894078.8
2017-6-23,6,14224582.34
2017-6-24,6,11738653.08
2017-6-25,6,11372473.22
2017-6-26,6,11550986.98
2017-6-27,6,11781882.33
2017-6-28,6,14872478.98
2017-6-29,6,12467015.62
2017-6-30,6,12520045.22
2017-7-1,6,12163728.02
2017-7-2,6,10585357.1
2017-7-3,6,12294171.02
2017-7-4,6,20489751.81
2017-7-5,6,20174584.52
2017-7-6,6,21499396.9
2017-7-7,6,17906580.48
2017-7-8,6,13916021.02
2017-7-9,6,13602845
2017-7-10,6,16927235.1
2017-7-11,6,18062328.28
2017-7-12,6,20034507.14
2017-7-13,6,19193202.3
2017-7-14,6,17357780.5
2017-7-15,6,14778853.22
2017-7-16,6,14716223.52
2017-7-17,6,16221891.5
2017-7-18,6,17202996.53
2017-7-19,6,25643492.64
2017-7-20,6,21025996.03
2017-7-21,6,19467437.73
2017-7-22,6,15724177.78
2017-7-23,6,15201984.6
2017-7-24,6,19104500.1
2017-7-25,6,20953731.66
2017-7-26,6,23789139.99
2017-7-27,6,18612017.6
2017-7-28,6,17812160.7
2017-7-29,6,15479976.36
2017-7-30,6,13592519.62
2017-7-31,6,15149194.71
2017-8-1,6,16775949.8
2017-8-2,6,19256396.3
2017-8-3,6,17571931.4
2017-8-4,6,15435497.9
2017-8-5,6,11426384.78
2017-8-6,6,13251227.3
2017-8-7,6,14101444.99
2017-8-8,6,17023130.7
2017-8-9,6,23840749.11
2017-8-10,6,23751285.36
2017-8-11,6,21940248.76
2017-8-12,6,17768677.8
2017-8-13,6,17417015.5
2017-8-14,6,20468714.8
2017-8-15,6,23132873.3
2017-8-16,6,30502615.6
2017-8-17,6,26750497.51
2017-8-18,6,25096600.6
2017-8-19,6,17858467.79
2017-8-20,6,14365369.06
2017-8-21,6,17832378.98
2017-8-22,6,18438399.68
2017-8-23,6,22627001.85
